component,path,language,source_form_hint,initial_classification,status,entry_point,tapenade_options,modes,oracle,dependencies,tapenade_result,fortad_result
non-regressions,nonRegressions/set01/bd02,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"toto(a,b); titi(a,b); port set01_bd02(b,a)",none,forward|reverse:a,strict-compiler|fresh-Tapenade-parser-tangent-adjoint-compile|hand|central-difference-sweep|adjoint-identity,none,pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/bd03,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"g(a,b); f(a,b); port set01_bd03(b,a)",none,forward|reverse:a,strict-compiler|fresh-Tapenade-parser-tangent-adjoint-compile|hand|central-difference-sweep|adjoint-identity,none,pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/bd04,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"toto(a)",-p|-d-root-toto|-b-root-toto,parser|forward|reverse,strict-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-parser-forward-reverse-print-diagnostic|independent-DO-control-JVP-VJP-oracle,PRINT at line 26; exact fixed-form source only; no repaired port claimed,pass-fresh-parser-tangent-reverse-generation-strict-compile,expected-refusal-parser-forward-reverse-unsupported-print-statement-line-26
non-regressions,nonRegressions/set01/bd05,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"head(a,b,c); leaf(a,b,c); port set01_bd05(a_in,b_in,c_in,a_out,c_out)",none,forward|reverse:a_out|reverse:c_out,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|hand|central-difference-sweep|adjoint-identity,"bounded port declares legacy loop index and exposes mutated A/C outputs",pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/bd06,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"toto(a,b)",none,forward|reverse,strict-compiler|FortAD-diagnostic,DIFFSIZES.inc-for-reference,stored-d-b-references-not-rerun,unsupported-reverse-constant-loop
non-regressions,nonRegressions/set01/bd07,fortran,mixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/ht01,fortran,fixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
non-regressions,nonRegressions/set01/ht02,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,top(a),-p|-d-root-top|-b-root-top,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-forward-reverse-generation|FortAD-exact-check-forward-reverse-diagnostic|independent-fixed-read-value-JVP-VJP-oracle,top reads x from an external unit after myopen opens that unit; the exact source therefore has an unsupported external I/O boundary; no synthetic I/O value or repaired port is claimed,pass-fresh-parser-forward-reverse-generation-strict-legacy-compile,expected-refusal-check-forward-reverse-unsupported-read-line-7-no-output
non-regressions,nonRegressions/set01/ht03,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"top(i1,i2,i3,o1,o2,o3); sub1(i1,i2,o1,o2)",-p|-d-root-top|-b-root-top,parser|forward|reverse,strict-and-legacy-compiler|fresh-Tapenade-parser-tangent-reverse-generation|FortAD-exact-check-call-and-I-O-refusal|independent-conditional-read-value-JVP-VJP-oracle,sub1 opens and reads external file toto; top's active call has no FortAD derivative rule; no repaired port is claimed,pass-fresh-parser-forward-reverse-generation-strict-and-legacy-compile,pass-check-reemit-strict-and-legacy-free-compile; expected-top-call-refusal-and-direct-I-O-refusal-no-output
non-regressions,nonRegressions/set01/lh000,fortran,mixed,"mixed regression cases, references, harness, and data",expected-refusal,"none (empty program.f and program.f90)",-p|-d|-b (no root; empty source),parser|forward|reverse,independent-empty-source-and-refusal-semantics|strict-compiler|fresh-pinned-Tapenade-generation|FortAD-no-entry-boundary|upstream-source-SHA-256-contract,"empty source; stored messages only; no entry point",pass-fresh-parser-tangent-reverse-no-entry,not-applicable-no-entry-point
non-regressions,nonRegressions/set01/lh001,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"top(i1,i2,i3,o1,o2,o3); port set01_lh001(i1,i2,i3,o1,o2,o3)",none,forward|reverse:o1,hand|central-difference-sweep|adjoint-identity,none,stored-d-b-references-not-rerun,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh002,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"top(x,y,z,a,b,c); port set01_lh002(x_initial,z_initial,b_initial,x_final,y_final,z_final,a_final)",none,forward|reverse:x_final,strict-compiler|hand|central-difference-sweep|adjoint-identity,none,stored-d-b-references-not-rerun,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh003,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"adj2(x,y,z,N,o)",none,forward|reverse,strict-source-inspection|safe-trace-hand-tangent|central-difference-sweep,none,pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,pass-exact-source-refusal-unsupported-statement-line-11
non-regressions,nonRegressions/set01/lh004,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"tata(y,z,x); port set01_lh004(y_initial,z_initial,x1_final,x2_final)",none,forward|reverse,strict-compiler|forward-transform|primal|hand|central-difference-sweep|FortAD-diagnostic,none,stored-d-reference-not-rerun,reverse-refused-branch-in-loop
non-regressions,nonRegressions/set01/lh005,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"adj4(y)",none,forward|reverse,strict-source-inspection|branch-hand-derivative|central-difference-sweep,"COMMON blocks and unit I/O",pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,pass-exact-source-refusal-unmatched-do-line-37
non-regressions,nonRegressions/set01/lh006,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"adj6(x,y,z)",none,forward|reverse,strict-source-inspection|fixed-trace-hand-derivative|central-difference-sweep,external file donnees and COMMON block donnees,pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,pass-exact-source-refusal-unterminated-character-line-49
non-regressions,nonRegressions/set01/lh007,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"adj3(z,t); sub1(u,y2,z,v); port set01_lh007(z,t,x5,x8,x10,y,u,v,...)",-p|-d-root-adj3|-b-root-adj3,forward|reverse:t_out,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-hand-JVP-VJP|central-difference-sweep|adjoint-identity|FortAD-diagnostic,"exact source uses COMMON /cc/ and reads uninitialized local U/V; bounded port makes storage projection and initial values explicit",pass-exact-and-fresh-generated-strict-compile,pass-exact-source-refusal-common-line-6-normalized-port-pass
non-regressions,nonRegressions/set01/lh008,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"adjBlock1(x,y,z); port set01_lh008(y,x,z,objective)",none,forward|reverse:objective,strict-compiler|hand|central-difference-sweep|adjoint-identity,none,pass-parser-and-generated-compile,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh009,fortran,fixed,"mixed regression cases, references, harness, and data",unsupported-invalid-upstream-fortran,"cfgLoop1(a,b,s); independent oracle only",-p|-d-root-cfgloop1|-b-root-cfgloop1,parser|forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-type-and-operation-oracle,none,pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,not-run-invalid-upstream-source
non-regressions,nonRegressions/set01/lh010,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"toto(x); port set01_lh010(x,total)",none,forward|reverse,strict-compiler|hand|central-difference-sweep|adjoint-identity,none,pass-transform-compile,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh011,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"s1(a,b)",-p|-d-root-s1|-b-root-s1,parser|forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|bounded-hand-JVP-VJP|central-difference-sweep|adjoint-identity,"uninitialized computed-GOTO selector; absent alternate-return callees TOTO/TUTU",pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,pass-exact-source-refusal-unsupported-computed-goto-line-6
non-regressions,nonRegressions/set01/lh012,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"test(A,B,C)",none,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|safe-index-hand-JVP-VJP|central-difference-sweep|adjoint-identity,INDX-uninitialized-local,pass-fresh-parser-tangent-reverse-generated-compile,pass-forward-transform-reverse-generated-compile-refusal-indx-and-dependent-adjoint
non-regressions,nonRegressions/set01/lh013,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"test(x,y)",none,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|initialization-safe-hand-JVP-VJP|central-difference-sweep|adjoint-identity,A(2)-read-before-initialization,pass-fresh-parser-tangent-reverse-generated-compile,pass-forward-transform-reverse-generated-compile-refusal-duplicate-adjoint
non-regressions,nonRegressions/set01/lh014,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"test(X,Y,p,q)",none,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|hand-JVP-VJP|central-difference-sweep|adjoint-identity,implicit-loop-index-i,pass-fresh-parser-tangent-reverse-generated-compile,pass-generated-compile-refusal-implicit-index
non-regressions,nonRegressions/set01/lh015,fortran,fixed,"mixed regression cases, references, harness, and data",unsupported-invalid-upstream-fortran,"s2(i1,p,i2,t1); independent bounded loop-body oracle",-p|-d-root-s2|-b-root-s2,parser|forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|bounded-loop-body-hand-JVP-VJP|central-difference-sweep|adjoint-identity,"exact source mixes INTEGER and REAL arguments in MAX, reads uninitialized REAL i3, and uses COMMON /c2/",pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,not-run-invalid-upstream-source
non-regressions,nonRegressions/set01/lh016,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"ctest(in,out); port set01_lh016(input,output)",-root ctest,forward|reverse,strict-compiler|Tapenade-generated-compile|hand-real-coordinate-JVP-VJP|central-difference-sweep|adjoint-identity|FortAD-diagnostic,none,pass-fresh-forward-reverse-generated-compile,pass-forward-reverse-complex-adjoint-refusal
non-regressions,nonRegressions/set01/lh017,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"test(a1,a2,b1,b2); port set01_lh017(a1,a2,branch,b1,b2)",none,forward|reverse:b1|reverse:b2,strict-compiler|hand|central-difference-sweep|adjoint-identity,"implicit branch state made explicit",pass-fresh-parser-tangent-reverse-generated-compile,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh018,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"top(a,b,c,d); f(u,v); port set01_lh018(b,c,a_out)",none,forward|reverse:a_out,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|hand|central-difference-sweep|adjoint-identity,"bounded port makes dead second-function-argument mutation passive",pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh019,fortran,mixed,"mixed regression cases, references, harness, and data",runnable-ported,"top(x,y,n,*); port set01_lh019(x,y,n,output)",associationByAddress references,forward|reverse:output,strict-compiler|hand|central-difference-sweep|adjoint-identity,none for port; upstream AATypes modules,stored-aad-aab-references-compiled,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh020,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"top(x,y,n,*); port set01_lh020(x,y,n,x1_out,branch)",none,forward|reverse:x1_out,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-hand-JVP-VJP|central-difference-sweep|adjoint-identity|branch-status,"alternate-return interface; bounded port exposes branch status",pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh021,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"s1(x,i1,y,i2,z)",-p|-d-root-s1|-b-root-s1,parser|forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|FortAD-diagnostic,"COMMON /c1/; external S2/S3 definitions absent",pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,pass-exact-source-refusal-common-line-5
non-regressions,nonRegressions/set01/lh022,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"test(x,y); port set01_lh022(x,y)",none,forward|reverse,strict-compiler|hand|central-difference-sweep|adjoint-identity,none,pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-forward-transform-compile-reverse-refusal-per-iteration-storage
non-regressions,nonRegressions/set01/lh023,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"test(a,b,c); port set01_lh023(a,b,c)",none,forward|reverse,hand|central-difference-sweep|adjoint-identity,none,stored-d-b-references-not-rerun,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh024,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"test(x,y); sub1(v,t,y)",-p|-d-root-test|-b-root-test,parser|forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-hand-JVP-VJP|central-difference-sweep|adjoint-identity|FortAD-diagnostic,"mutating call actuals; bounded port uses a plain temporary",pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-exact-source-refusal-mutating-call-boundary
non-regressions,nonRegressions/set01/lh025,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"funeval(a,x,n,k,lambda,y,z); port set01_lh025(a,x,lambda,y)",-p|-d-root-funeval|-b-root-funeval,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-closed-form-JVP-VJP|central-difference-sweep|adjoint-identity,"exact source remains a generic Tapenade boundary; bounded port is N=7,K=3",pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime-exact-source-refusal
non-regressions,nonRegressions/set01/lh026,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"s1(a,b)",-p|-d-root-s1|-b-root-s1,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-hand-JVP-VJP|central-difference-sweep|adjoint-identity|FortAD-diagnostic,"restart-to-label branch inside a loop; stored reverse uses INTEGER*4",pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,pass-forward-transform-compile-reverse-refusal-control-flow
non-regressions,nonRegressions/set01/lh027,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"s1(a,b); port set01_lh027(a,b,a_out,b_out,objective)",-p|-d-root-s1|-b-root-s1,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-closed-form-array-and-scalar-JVP-VJP|central-difference-sweep|adjoint-identity,"exact reverse references use legacy control flow; bounded port restricts to positive branch trace",pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh028,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"s1(a,b); port set01_lh028(a,b)",none,forward|reverse,strict-compiler|hand|central-difference-sweep|adjoint-identity,none,pass-fresh-parser-tangent-reverse-generation-reverse-compile-rejection-integer4,pass-forward-transform-compile-reverse-refusal-loop-control-flow
non-regressions,nonRegressions/set01/lh029,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"s1(T,n,xx,z); s2(V,nn,res,z); s3(T,n,res,z); port set01_lh029(t,z,xx,z_out)",-p|-d-root-s1|-b-root-s1,forward|reverse:xx|reverse:z_out,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-hand-JVP-VJP|central-difference-sweep|adjoint-identity,"external nested s2/s3 call boundary; bounded port unrolls the fixed trace",pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime-exact-source-refusal
non-regressions,nonRegressions/set01/lh030,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"head(i1,i2,o); port set01_lh030(i1,i2,o)",-p|-d-root-head|-b-root-head,parser|forward|reverse|multidirectional,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-closed-form-JVP-VJP|central-difference-sweep|adjoint-identity,"exact COMMON /zz/ state; bounded port carries zn and zd as local state",pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime-exact-source-refusal
non-regressions,nonRegressions/set01/lh031,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"sub1(x,y,z); port set01_lh031(x,y,z,x_out,y_out,z_out)",-p|-d-root-sub1|-b-root-sub1,parser|forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-closed-form-JVP-VJP|central-difference-sweep|adjoint-identity,"exact RETURN boundary; bounded port exposes overwritten outputs",pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime-exact-source-refusal
non-regressions,nonRegressions/set01/lh032,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"sub1(x,y); port set01_lh032(x,y)",none,forward|reverse,hand|central-difference-sweep|adjoint-identity,none,stored-d-b-references-not-rerun,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh033,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"absorbN(data,resu,iz)",none,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-generation-generated-compile|strict-source-refusal|central-difference-sweep,COMMON block /ccc/,pass-fresh-parser-tangent-reverse-generation-generated-compile,unsupported-statement-line-5-common
non-regressions,nonRegressions/set01/lh034,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"invert(f,x,a0,b0,n); port set01_lh034(a0,b0,x,n,root)",-p|-d-root-invert|-b-root-invert,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-hand-JVP-VJP|central-difference-sweep|adjoint-identity|FortAD-diagnostic,"unresolved external callback; fixed-form RETURN boundary",pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,pass-forward-transform-compile-reverse-refusal-control-flow
non-regressions,nonRegressions/set01/lh035,fortran,fixed,"mixed regression cases, references, harness, and data",unsupported-invalid-upstream-fortran,"bug7(x)",none,parser|forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|FortAD-diagnostic,"conflicting REAL COMMON and CHARACTER declarations",pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,not-run-invalid-upstream-source
non-regressions,nonRegressions/set01/lh036,fortran,fixed,"mixed regression cases, references, harness, and data",unsupported-invalid-upstream-fortran,"f(t)",none,parser|forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|FortAD-diagnostic,"missing ZE/TRUC/TRUC1 definitions and malformed ZE expression",pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,not-run-invalid-upstream-source
non-regressions,nonRegressions/set01/lh037,fortran,fixed,"mixed regression cases, references, harness, and data",unsupported-invalid-upstream-fortran,"assgoto1(a,b,c); port set01_lh037(a,b,c)",-p|-d-root-assgoto1|-b-root-assgoto1,parser|forward|reverse|multidirectional,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|FortAD-diagnostic|independent-closed-form-JVP-VJP|central-difference-sweep|adjoint-identity,"deleted ASSIGN/GOTO and REAL*8; program_dv requires missing DIFFSIZES.inc; bounded path b-c>8",pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,not-run-invalid-upstream-source
non-regressions,nonRegressions/set01/lh038,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,"top(x); port set01_lh038(pi,x)",-p|-d-root-top|-b-root-top,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-hand-JVP|central-difference-sweep|adjoint-identity|FortAD-diagnostic,"exact COMMON /ext/ boundary; bounded port makes state explicit; bounded reverse has duplicate x_b",pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-forward-transform-compile-reverse-refusal-generated-compile
non-regressions,nonRegressions/set01/lh039,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"top(i1,i2,i3,o1,o2,o3); port set01_lh039(i1,i2,i3,o1,o2,o3)",none,forward|reverse:o1,strict-compiler|fresh-Tapenade-parser-tangent-reverse-generation-generated-compile|hand|central-difference-sweep|adjoint-identity,none,pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime
non-regressions,nonRegressions/set01/lh040,fortran,fixed,"mixed regression cases, references, harness, and data",expected-refusal,f(t),none,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-generation-generated-compile|strict-source-refusal|central-difference-sweep,fixed-form CHARACTER*10 declaration,pass-fresh-parser-tangent-reverse-generation-generated-compile,unsupported-statement-line-4-character
non-regressions,nonRegressions/set01/lh041,fortran,fixed,"mixed regression cases, references, harness, and data",runnable-ported,"adj10(tab,q); port set01_lh041(a,b,q,result)",-p|-d-root-adj10|-b-root-adj10,forward|reverse,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|independent-hand-JVP|central-difference-sweep|adjoint-identity|FortAD-diagnostic,"exact COMMON/fixed-form nested-loop boundary; bounded port makes state explicit; bounded reverse needs per-iteration storage",pass-fresh-parser-tangent-reverse-generation-generated-compile,pass-transform-compile-runtime-exact-source-refusal
non-regressions,nonRegressions/set01/lh042,fortran,fixed,"mixed regression cases, references, harness, and data",unsupported-invalid-upstream-fortran,"decls1(t1,t2,t3,n,m,t4,t5)",-p|-d-root-decls1|-b-root-decls1|-d-root-decls1-multi,parser|forward|reverse|multidirectional,strict-compiler|fresh-Tapenade-parser-tangent-reverse-compile|FortAD-diagnostic,"invalid declaration order, kind syntax, dummy/EQUIVALENCE conflicts, and missing DIFFSIZES.inc",pass-fresh-parser-tangent-reverse-generation-generated-compile-refusal,not-run-invalid-upstream-source
non-regressions,nonRegressions/set01/lh043,fortran,mixed,"mixed regression cases, references, harness, and data",untriaged,untriaged,untriaged,untriaged,untriaged,untriaged,not-run,not-run
