workload,engine,problem_size,input_count,n,repetitions,trials,seconds_median,seconds_min,seconds_max,ns_per_input_median,ns_per_input_min,ns_per_input_max,timing_clock,run_id,provenance_file
ba,primal,100,300,300,13333,7,  9.167049E-03,  9.087931E-03,  9.287216E-03,  2.291820E+00,  2.272040E+00,  2.321862E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,fortad,1000,3000,3000,1333,7,  2.027383E-02,  2.003259E-02,  2.051802E-02,  5.069726E+00,  5.009400E+00,  5.130789E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,enzyme,1000,3000,3000,1333,7,  3.263227E-02,  3.232470E-02,  3.290349E-02,  8.160107E+00,  8.083195E+00,  8.227929E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,tapenade,1000,3000,3000,1333,7,  7.549202E-02,  7.470126E-02,  7.619974E-02,  1.887772E+01,  1.867998E+01,  1.905470E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,fortad-grad,1000,3000,3000,1333,7,  1.159943E-02,  1.146089E-02,  1.173725E-02,  2.900583E+00,  2.865939E+00,  2.935047E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,primal,1000,3000,3000,1333,7,  8.948828E-03,  8.876673E-03,  9.045621E-03,  2.237766E+00,  2.219723E+00,  2.261971E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,fortad,10000,30000,30000,133,7,  2.034623E-02,  2.027050E-02,  2.060107E-02,  5.099306E+00,  5.080325E+00,  5.163175E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,enzyme,10000,30000,30000,133,7,  3.263069E-02,  3.256003E-02,  3.276753E-02,  8.178119E+00,  8.160409E+00,  8.212414E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,tapenade,10000,30000,30000,133,7,  7.620150E-02,  7.589214E-02,  7.633173E-02,  1.909812E+01,  1.902059E+01,  1.913076E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,fortad-grad,10000,30000,30000,133,7,  1.158418E-02,  1.153357E-02,  1.163192E-02,  2.903304E+00,  2.890619E+00,  2.915269E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,primal,10000,30000,30000,133,7,  8.913192E-03,  8.902071E-03,  9.018110E-03,  2.233883E+00,  2.231095E+00,  2.260178E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,fortad,100000,300000,300000,13,7,  2.001118E-02,  1.985987E-02,  2.011935E-02,  5.131072E+00,  5.092275E+00,  5.158808E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,enzyme,100000,300000,300000,13,7,  3.200159E-02,  3.177984E-02,  3.229160E-02,  8.205535E+00,  8.148677E+00,  8.279898E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,tapenade,100000,300000,300000,13,7,  7.424372E-02,  7.411032E-02,  7.465463E-02,  1.903685E+01,  1.900265E+01,  1.914221E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,fortad-grad,100000,300000,300000,13,7,  1.154852E-02,  1.144396E-02,  1.161177E-02,  2.961158E+00,  2.934348E+00,  2.977376E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,primal,100000,300000,300000,13,7,  8.691234E-03,  8.619769E-03,  8.744324E-03,  2.228522E+00,  2.210197E+00,  2.242134E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,fortad,1000000,3000000,3000000,3,7,  4.923776E-02,  4.820933E-02,  4.996189E-02,  5.470862E+00,  5.356592E+00,  5.551322E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,enzyme,1000000,3000000,3000000,3,7,  7.703985E-02,  7.637934E-02,  7.768363E-02,  8.559983E+00,  8.486594E+00,  8.631514E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,tapenade,1000000,3000000,3000000,3,7,  1.796389E-01,  1.779521E-01,  1.799955E-01,  1.995988E+01,  1.977245E+01,  1.999950E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,fortad-grad,1000000,3000000,3000000,3,7,  2.888206E-02,  2.863255E-02,  2.982271E-02,  3.209118E+00,  3.181395E+00,  3.313635E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
ba,primal,1000000,3000000,3000000,3,7,  2.014225E-02,  1.991612E-02,  2.019183E-02,  2.238027E+00,  2.212902E+00,  2.243537E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,fortad,100,100,100,40000,7,  3.837727E-02,  3.830796E-02,  3.866750E-02,  9.594317E+00,  9.576989E+00,  9.666874E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,enzyme,100,100,100,40000,7,  4.894505E-02,  4.865117E-02,  4.911655E-02,  1.223626E+01,  1.216279E+01,  1.227914E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,tapenade,100,100,100,40000,7,  5.766027E-02,  5.744127E-02,  5.939760E-02,  1.441507E+01,  1.436032E+01,  1.484940E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,fortad-grad,100,100,100,40000,7,  3.790263E-02,  3.768325E-02,  3.817973E-02,  9.475656E+00,  9.420813E+00,  9.544932E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,primal,100,100,100,40000,7,  2.165780E-02,  2.138654E-02,  2.201308E-02,  5.414450E+00,  5.346635E+00,  5.503270E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,fortad,1000,1000,1000,4000,7,  3.833330E-02,  3.824552E-02,  3.850043E-02,  9.583324E+00,  9.561380E+00,  9.625108E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,enzyme,1000,1000,1000,4000,7,  4.820454E-02,  4.804039E-02,  4.842007E-02,  1.205114E+01,  1.201010E+01,  1.210502E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,tapenade,1000,1000,1000,4000,7,  5.739369E-02,  5.712711E-02,  5.765977E-02,  1.434842E+01,  1.428178E+01,  1.441494E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,fortad-grad,1000,1000,1000,4000,7,  3.793336E-02,  3.770593E-02,  3.805348E-02,  9.483341E+00,  9.426483E+00,  9.513370E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,primal,1000,1000,1000,4000,7,  2.155218E-02,  2.149974E-02,  2.194560E-02,  5.388046E+00,  5.374936E+00,  5.486401E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,fortad,10000,10000,10000,400,7,  3.847577E-02,  3.826950E-02,  3.873096E-02,  9.618941E+00,  9.567374E+00,  9.682739E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,enzyme,10000,10000,10000,400,7,  4.826706E-02,  4.812402E-02,  4.833198E-02,  1.206677E+01,  1.203101E+01,  1.208300E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,tapenade,10000,10000,10000,400,7,  5.757164E-02,  5.725609E-02,  5.826263E-02,  1.439291E+01,  1.431402E+01,  1.456566E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,fortad-grad,10000,10000,10000,400,7,  3.807355E-02,  3.777404E-02,  3.814132E-02,  9.518387E+00,  9.443511E+00,  9.535331E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,primal,10000,10000,10000,400,7,  2.165162E-02,  2.150570E-02,  2.194314E-02,  5.412905E+00,  5.376426E+00,  5.485785E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,fortad,100000,100000,100000,40,7,  3.873233E-02,  3.851630E-02,  3.911407E-02,  9.683082E+00,  9.629075E+00,  9.778517E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,enzyme,100000,100000,100000,40,7,  4.855327E-02,  4.819266E-02,  4.878473E-02,  1.213832E+01,  1.204816E+01,  1.219618E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,tapenade,100000,100000,100000,40,7,  5.814366E-02,  5.760087E-02,  5.860644E-02,  1.453591E+01,  1.440022E+01,  1.465161E+01,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,fortad-grad,100000,100000,100000,40,7,  3.837582E-02,  3.829042E-02,  3.877695E-02,  9.593954E+00,  9.572604E+00,  9.694238E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,primal,100000,100000,100000,40,7,  2.173364E-02,  2.154099E-02,  2.181513E-02,  5.433411E+00,  5.385248E+00,  5.453782E+00,system_clock_wall,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
